Designators,Casing,Section,Subsection,Category,Manufacturer,Part_Number,Description,number_elements,unit,Quantity_per_element,Has_datasheet_info,L_mm,W_mm,H_mm,Volume_cm3_excel,Density_min_g_cm3,Density_max_g_cm3,Metal_extra_g,mass_space_relation_m2/kg,Database,Ecoinvent_flow,Ecoinvent_unit,Direction,Comments,Subsystem
"IC12, IC14, IC25, IC28, IC29",VSSOP-8,IC,Digital,Logic,TEXAS INSTRUMENTS,SN74LVC2T45DCU,Dual-Bit Dual-Supply Bus Transceiver,5,kg,0.00001,YES,,,,,,,,0,EcoInvent,"integrated circuit production, logic type",kg,Input,https://www.mouser.ch/ProductDetail/Texas-Instruments/SN74LVC2T45DCURE4?qs=0smPjiIwnfLuS8KHnlVgZw%3D%3D,analog_control
IC15,SOIC-14,IC,Mixed-Signal,DAC,MAXIM INTEGRATED,MAX5719AGSD+,"20-Bit, Serial-Input, Voltage Output DAC",1,kg,0.000174,YES,8.65,3.9,1.75,,1.2,1.3,0.0001,0,EcoInvent,"integrated circuit production, logic type",kg,Input,Mass from SOIC‑14 wide package (8.65×3.9×1.75 mm) volume × 1.25 g/cm³ + metal_extra 100 mg ≈ 174 mg. MAX5719AGSD+ datasheet.,analog_control
"IC16, IC27",TSSOP-14,IC,Digital,Logic,TEXAS INSTRUMENTS,SN74ALVC32PW,Quad 2-Input OR Gate,2,kg,0.0000325,YES,5.0,4.4,1.0,,1.2,1.3,0.000005,0,EcoInvent,"integrated circuit production, logic type",kg,Input,Mass from TSSOP‑14 package. Same as OPA4192.,analog_control
"IC17, IC18",VSSOP-8,IC,Analog,Amplifier,ANALOG DEVICES,ADA4522-2ARMZ,Dual Operational Amplifier,2,kg,0.0000116,YES,3.0,3.0,0.85,,1.2,1.3,0.000002,0,EcoInvent,"integrated circuit production, logic type",kg,Input,"Mass from VSSOP‑8 package, same as AD8672ARM.",analog_control
IC19,QFN-33,IC,Analog,Multiplexer,ANALOG DEVICES,ADG1407BCP,"9.5 Ω RON, 16-Channel, Differential 8-Channel iCMOS Multiplexers",1,kg,0.00003,YES,5.0,5.0,0.8,,1.2,1.3,0.000005,0,EcoInvent,"integrated circuit production, logic type",kg,Input,Mass from QFN‑33 package (5×5×0.8 mm) volume × 1.25 g/cm³ + metal_extra 5 mg ≈ 30 mg. ADG1407BCP datasheet.,analog_control
"IC22, IC33",MSOP-8,IC,Analog,Power Management,TEXAS INSTRUMENTS,TPS7A4901DGN,"+36V, +150mA, Ultralow-Noise, Positive Linear Regulator",2,kg,0.00014,YES,,,,,,,,,EcoInvent,"integrated circuit production, logic type",kg,Input,Mass from MSOP‑8 package with exposed pad (3×3×1.1 mm) volume × 1.25 g/cm³ + metal_extra 2 mg ≈ 12 mg. TPS7A4901DGN datasheet.,analog_control
"IC23, IC36, IC41",MSOP-8,IC,Analog,Amplifier,TEXAS INSTRUMENTS,OPA2192IDGK,Dual Operational Amplifier,3,kg,0.00014,YES,,,,,,,,,EcoInvent,"integrated circuit production, logic type",kg,Input,Mass from MSOP‑8 package (3×3×0.85 mm) – 11.6 mg.,analog_control
IC24,SOT23-3,IC,Analog,Reference,TEXAS INSTRUMENTS,TL431ACL3T,Precision Reference,1,kg,0.0000082,YES,2.9,1.3,1.0,0.00377,1.2,1.3,0.0000035,0,EcoInvent,"integrated circuit production, logic type",kg,Input,Mass from SOT23‑3 package (8.2 mg).,analog_control
"IC26, IC31",SOT23-5,IC,Analog,Comparator,TEXAS INSTRUMENTS,TL331IDBVT,Single Voltage Comparator,2,kg,,NO,2.9,1.3,1,,1.2,1.3,0.0035,0,EcoInvent,"integrated circuit production, logic type",kg,Input,mass from casing,analog_control
IC32,MSOP-16,IC,Analog,Power Management,LINEAR TECHNOLOGY,LT8610EMSE,"42V, 2.5A Synchronous Step-Down Regulator",1,kg,0.000343,YES,,,,,,,,,EcoInvent,"integrated circuit production, logic type",kg,Input,https://www.mouser.ch/ProductDetail/Analog-Devices/LT8610EMSEPBF?qs=hVkxg5c3xu%252B%252BFvD8yUlxUw%3D%3D,analog_control
IC34,TSSOP-8,IC,Analog,Sensor,NXP,PCT2075DP,"Ultra Low Power, 1.8V, 1°C Accuracy Digital Temperature Sensor",1,kg,0.000023550,YES,,,,,,,,,EcoInvent,"integrated circuit production, logic type",kg,Input,Mass info: https://www.mouser.ch/ProductDetail/NXP-Semiconductors/PCT2075DP118?qs=lH1ILECabYlwLBLKMiotHw%3D%3D,analog_control
IC35,SOT23-6,IC,Memory,EEPROM,MICROCHIP,24AA025E48T-I/OT,"1.7V-5.5V, 2K I2C Serial EEPROM",1,kg,,NO,2.9,1.3,1,,1.2,1.3,0.0035,,EcoInvent,"integrated circuit production, logic type",kg,Input,Mass from SOT23‑6 package (2.9×1.6×1.1 mm) volume × 1.25 g/cm³ + metal_extra 2 mg ≈ 8.4 mg.,analog_control
IC37,SOIC-8,IC,Mixed-Signal,Isolator,TEXAS INSTRUMENTS,ISO1541D,Low-Power Bi-Directional I2C Isolator,1,kg,,NO,4.9,3.9,1.75,,1.2,1.2,,,EcoInvent,"integrated circuit production, logic type",kg,Input,mass from casing,analog_control
IC38,,IC,Digital,IO Expander,TEXAS INSTRUMENTS,TCA6424ARGJ,24-bit I2C and SMBus I/O Expander,1,kg,0.0000257,YES,,,,,,,,0,EcoInvent,"integrated circuit production, logic type",kg,Input,https://www.mouser.ch/ProductDetail/Texas-Instruments/TCA6424ARGJR?qs=Ze4%2FuFuz19LzqLgNFpYqlQ%3D%3D,analog_control
IC40,VQFN-16,IC,Mixed-Signal,Power Monitor,TEXAS INSTRUMENTS,INA3221AIRGV,"Triple-Channel, High-Side Measurement, Shunt and Bus Voltage Monitor",1,kg,0.00005,YES,,,,,,,,,EcoInvent,"integrated circuit production, logic type",kg,Input,Mass from QFN‑17 package (4×4×0.9 mm) volume × 1.25 g/cm³ + metal_extra 5 mg ≈ 23 mg. INA3221AIRGV datasheet.,analog_control
IC42,BGA-25,Modules,DC/DC Converters,,ANALOG DEVICES,LTM8074IY,"40VIN, 1.2A Silent Switcher µModule Regulator",1,kg,0.001834,YES,,,,,,,,,EcoInvent,"electronic component production, active, unspecified",kg,Input,"MODULE BECAUSE IT HAS DIFFERENT TYPE OF COMPONENTS,. MASS INFO:https://www.mouser.ch/ProductDetail/Analog-Devices/LTM8074IYPBF?qs=qSfuJ%252Bfl%2Fd668LF%252B05dveg%3D%3D",analog_control
J1,,Electromechanical,Connectors,FFC/FPC,MOLEX,2203631200,"Easy-On FFC/FPC Connector, 0.40mm Pitch, FD4P Series, Right-Angle, Bottom Contact, 2.00mm Height, 120 Circuits, Gold over Nickel Plating",1,kg,0.0015,YES,,,,,,,,,EcoInvent,"electric connector production, peripheral type buss",kg,Input,,analog_control
J2,,Electromechanical,Connectors,FFC/FPC,MOLEX,2203630800,"Easy-On FFC/FPC Connector, 0.40mm Pitch, FD4P Series, Right-Angle, Bottom Contact, 2.00mm Height, 80 Circuits, Gold over Nickel Plating",1,kg,0.0005,YES,,,,,,,,,EcoInvent,"electric connector production, peripheral type buss",kg,Input,,analog_control
J3,,Electromechanical,Connectors,PicoBlade,MOLEX,53261-1071,"1.25mm (.049\"") Pitch PicoBlade™ Surface Mount 10 Circuits Right Angle Header",1,kg,0.000279,YES,,,,,,,,,EcoInvent,"electric connector production, wire clamp",kg,Input,Mass estimated (~1g).,analog_control
J4,,Electromechanical,Connectors,Pin Header,SAMTEC,FTS-111-03-L-D,"22-position, 2.54mm pitch, Surface Mount Header",1,kg,0.002,NO,14,3.42,1.27,,1.3,1.5,0.0027,0,EcoInvent,"electric connector production, wire clamp",kg,Input,from measurements and stimation,analog_control
J5,,Electromechanical,Connectors,Right Angle Header,AMPHENOL,10052837-101LF,"96 Contacts, 2mm Pitch, 8 Columns, 4 Pairs per Column, 2 Walls",1,kg,0.015169,YES,,,,,,,,,EcoInvent,"electric connector production, peripheral type buss",kg,Input,https://www.mouser.ch/ProductDetail/Amphenol-FCI/10052837-101LF?qs=qObghIyrWxqSnJki6yjatA%3D%3D,analog_control
J6,,Electromechanical,Connectors,Right Angle Header,AMPHENOL,10052825-101LF,"72 Contacts, 2mm Pitch, 6 Columns, 4 Pairs per Column, 4 Walls",1,kg,0.015336,YES,,,,,,,,0,EcoInvent,"electric connector production, peripheral type buss",kg,Input,mass: https://www.mouser.ch/ProductDetail/Amphenol-FCI/10052825-101LF?qs=qObghIyrWxrXt6HI1S6RBA%3D%3D,analog_control
J7,,Electromechanical,Connectors,D-Sub,TE CONNECTIVITY,2311763-2,High Density D-sub 15 Position Female,1,kg,0.0084,YES,,,,,,,,,EcoInvent,"electric connector production, peripheral type buss",kg,Input,https://www.mouser.ch/ProductDetail/TE-Connectivity/2311763-2?qs=rrS6PyfT74dmXtBEPHOmlA%3D%3D,analog_control
"L1_ADC_1, L1_ADC_2, L1_ADC_3, L1_ADC_4, L1_ADC_5, L1_ADC_6, L3_ADC_1, L3_ADC_2, L3_ADC_3, L3_ADC_4, L3_ADC_5, L3_ADC_6, L7_ADC_1, L7_ADC_2, L7_ADC_3, L7_ADC_4, L7_ADC_5, L7_ADC_6, L8_ADC_1, L8_ADC_2, L8_ADC_3, L8_ADC_4, L8_ADC_5, L8_ADC_6, L9_ADC_1, L9_ADC_2, L9_ADC_3, L9_ADC_4, L9_ADC_5, L9_ADC_6, L10_ADC_1, L10_ADC_2, L10_ADC_3, L10_ADC_4, L10_ADC_5, L10_ADC_6, L11_ADC_1, L11_ADC_2, L11_ADC_3, L11_ADC_4, L11_ADC_5, L11_ADC_6, L12_ADC_1, L12_ADC_2, L12_ADC_3, L12_ADC_4, L12_ADC_5, L12_ADC_6",0805,Passives,Inductors,Common Mode Choke,TDK,ACM2012-202-2P,"Common Mode Filter, 2000Ω@100MHz, 300mA, 2.0x1.25mm",48,kg,,NO,2.0,1.25,0.8,,4.5,5.5,,0,EcoInvent,"inductor production, low value multilayer chip",kg,Input,from casing,analog_control
"L2, L13",2220,Passives,Inductors,Power Inductor,EPCOS,B82442H1103K,"100µH, ±10%, 2220 SMD Inductor",2,kg,0.00048,YES,,,,,,,,0,EcoInvent,"inductor production, ring core choke type",kg,Input,https://www.mouser.ch/ProductDetail/EPCOS-TDK/B82442H1103K?qs=%2FkiEPUfD%2FqkxUPf%2Fl938Cg%3D%3D,analog_control
"L4_ANA_CAL_0, L4_ANA_CAL_1, L6_ANA_CAL_0, L6_ANA_CAL_1",1210,Passives,Inductors,Power Inductor,MURATA,LQH32CN331K23,"330µH, ±10%, 1210 SMD Inductor",4,kg,,NO,3.18,2.41,1.4,,6,7,0,,EcoInvent,"inductor production, ring core choke type",kg,Input,mass from casing,analog_control
"L5_ANA_CAL_0, L5_ANA_CAL_1",,Passives,Inductors,Common Mode Choke,WÜRTH ELEKTRONIK,744226,"2×10µH Common Mode Choke, WE‑SL2",2,kg,0.000468,YES,,,,,,,,,EcoInvent,"inductor production, ring core choke type",kg,Input,https://uk.farnell.com/wurth-elektronik/744226/line-filter-smd-common-mode-2x10uh/dp/1636269,analog_control
L14,0805,Passives,Inductors,Common Mode Choke,TDK,ACM2012-361-2P,"Common Mode Filter, 360Ω@100MHz, 300mA, 2.0x1.25mm",1,kg,,NO,2.0,1.25,0.8,,4.5,5.5,,0,EcoInvent,"inductor production, low value multilayer chip",kg,Input,Same dimensions and mass as L1_ADC_* (12 mg).,analog_control
"L15, L17, L19",,Passives,Inductors,Power Inductor,WÜRTH ELEKTRONIK,74408943100,"10µH, ±20%, WE‑SPC SMD Power Inductor",3,kg,0.000315,YES,,,,,,,,0,EcoInvent,"inductor production, ring core choke type",kg,Input,Mass from volume (4.8×4.8×3.8 mm) × 5 g/cm³ ≈ 0.44 g. Würth 74408943100 datasheet.,analog_control
L18,,Passives,Inductors,Power Inductor,MURATA,IND_4.7UH_20%_MURATA-PS_8200,"4.7µH, ±20%, 2.5×2.0×1.5mm Inductor",1,kg,0.00006,YES,,,,,,,,,EcoInvent,"inductor production, low value multilayer chip",kg,Input,https://www.mouser.de/ProductDetail/Murata-Power-Solutions/82472C?qs=5CKLVr1iF0mqQyDveQwIEg%3D%3D,analog_control
"P1_ANA_CAL_0, P1_ANA_CAL_1, P2_ANA_CAL_0, P2_ANA_CAL_1",,Passives,Resistors,Trimmer,BOURNS,3224X-1-200E,"20Ω, 12‑turn, 4.8×3.8×2.5mm SMD Trimming Potentiometer",4,kg,0.0002,YES,,,,,,,,0,EcoInvent,"electronic component, passive, unspecified",kg,Input,https://www.mouser.de/ProductDetail/Bourns/3224X-1-200E?qs=SMQt91Li6bUlKocAhGVO%252Bw%3D%3D,analog_control
R1,0402,Passives,Resistors,Thin Film,GENERIC,R0402_31K6_0.1%_0.063W_25PPM,31.6kΩ ±0.1% 0.063W 25ppm/°C Thin Film Chip Resistor,1,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input,Mass from generic 0402 resistor.,analog_control
"R2, R4, R33, R37, R40, R41, R42, R44, R45, R46, R49, R50, R53, R111, R112, R113, R114, R115, R116, R117, R118, R119, R120, R123, R124, R125, R132, R133, R138, R156, R158, R159",0402,Passives,Resistors,Thick Film,GENERIC,R0402_10K_1%_0.0625W_100PPM,10kΩ ±1% 0.0625W 100ppm/°C Thick Film Chip Resistor,32,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input,Mass from generic 0402 resistor.,analog_control
"R3, R14_ANA_CAL_0, R14_ANA_CAL_1, R20_ANA_CAL_0, R20_ANA_CAL_1, R27, R29, R30, R31, R52_ADC_1, R52_ADC_2, R52_ADC_3, R52_ADC_4, R52_ADC_5, R52_ADC_6, R56, R57, R58_ANA_CAL_0, R58_ANA_CAL_1, R59_ANA_CAL_0, R59_ANA_CAL_1",0603,Passives,Resistors,Thin Film,GENERIC,R0603_10R_0.1%_0.063W_10PPM,10Ω ±0.1% 0.063W 10ppm/°C Thin Film Chip Resistor,21,kg,,NO,1.6,0.8,0.8,,6,7,0,,EcoInvent,"resistor production, surface-mounted",kg,Input,Mass from generic 0603 resistor,analog_control
"R5_ANA_CAL_0, R5_ANA_CAL_1, R8_ANA_CAL_0, R8_ANA_CAL_1, R26, R28, R35, R39, R43, R54, R55, R60, R61, R62",0603,Passives,Resistors,Thin Film,GENERIC,R0603_1K_0.1%_0.1W_25PPM,1kΩ ±0.1% 0.1W 25ppm/°C Thin Film Chip Resistor,14,kg,,NO,1.6,0.8,0.8,,6,7,0,,EcoInvent,"resistor production, surface-mounted",kg,Input,Mass from generic 0603 resistor.,analog_control
"R6, R22, R23, R157",0402,Passives,Resistors,Thick Film,GENERIC,R0402_51R_1%_0.0625W_100PPM,51Ω ±1% 0.0625W 100ppm/°C Thick Film Chip Resistor,4,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input,Mass from generic 0402 resistor.,analog_control
"R7, R24",0402,Passives,Resistors,Thick Film,GENERIC,R0402_820R_1%_0.0625W_100PPM,820Ω ±1% 0.0625W 100ppm/°C Thick Film Chip Resistor,2,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input,Mass from generic 0402 resistor.,analog_control
"R9_ANA_CAL_0, R9_ANA_CAL_1, R19_ANA_CAL_0, R19_ANA_CAL_1",0402,Passives,Resistors,Thick Film,GENERIC,R0402_470R_1%_0.0625W_100PPM,470Ω ±1% 0.0625W 100ppm/°C Thick Film Chip Resistor,4,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input,Mass from generic 0402 resistor.,analog_control
"R10_ANA_CAL_0, R10_ANA_CAL_1, R18_ANA_CAL_0, R18_ANA_CAL_1",0603,Passives,Resistors,Thin Film,GENERIC,R0603_1M_0.1%_0.063W_25PPM,1MΩ ±0.1% 0.063W 25ppm/°C Thin Film Chip Resistor,4,kg,,NO,1.6,0.8,0.8,,6,7,0,,EcoInvent,"resistor production, surface-mounted",kg,Input,Mass from generic 0603 resistor.,analog_control
"R11_ANA_CAL_0, R11_ANA_CAL_1",0603,Passives,Resistors,Thin Film,GENERIC,R0603_20R_0.1%_0.063W_10PPM,20Ω ±0.1% 0.063W 10ppm/°C Thin Film Chip Resistor,2,kg,,NO,1.6,0.8,0.8,,6,7,0,,EcoInvent,"resistor production, surface-mounted",kg,Input,Mass from generic 0603 resistor.,analog_control
"R12_ANA_CAL_0, R12_ANA_CAL_1, R13_ANA_CAL_0, R13_ANA_CAL_1, R16_ANA_CAL_0, R16_ANA_CAL_1, R17_ANA_CAL_0, R17_ANA_CAL_1",0603,Passives,Resistors,Thin Film,GENERIC,R0603_220R_0.1%_0.1W_25PPM,220Ω ±0.1% 0.1W 25ppm/°C Thin Film Chip Resistor,8,kg,,NO,1.6,0.8,0.8,,6,7,0,,EcoInvent,"resistor production, surface-mounted",kg,Input,Mass from generic 0603 resistor.,analog_control
"R15_ANA_CAL_0, R15_ANA_CAL_1, R21_ANA_CAL_0, R21_ANA_CAL_1",0603,Passives,Resistors,Thin Film,GENERIC,R0603_5R1_0.1%_0.063W_25PPM,5.1Ω ±0.1% 0.063W 25ppm/°C Thin Film Chip Resistor,4,kg,,NO,1.6,0.8,0.8,,6,7,0,,EcoInvent,"resistor production, surface-mounted",kg,Input,Mass from generic 0603 resistor.,analog_control
"R25, R34, R129, R149, R155",0805,Passives,Resistors,Thick Film,GENERIC,R0805_0R05_1%_0.25W_300PPM,0.05Ω ±1% 0.25W 300ppm/°C Low Resistance Chip Resistor,5,kg,,NO,2,1.25,0.5,,6,7,0,,EcoInvent,"resistor production, surface-mounted",kg,Input,Mass from generic 0805 resistor.,analog_control
R32,0402,Passives,Resistors,Thick Film,GENERIC,R0402_11K_1%_0.0625W_100PPM,11kΩ ±1% 0.0625W 100ppm/°C Thick Film Chip Resistor,1,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input,Mass from generic 0402 resistor.,analog_control
"R36, R51, R137, R140",0402,Passives,Resistors,Thick Film,GENERIC,R0402_30K_1%_0.0625W_100PPM,30kΩ ±1% 0.0625W 100ppm/°C Thick Film Chip Resistor,4,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input,Mass from generic 0402 resistor.,analog_control
"R38, R131",0402,Passives,Resistors,Thick Film,GENERIC,R0402_51K_1%_0.0625W_100PPM,51kΩ ±1% 0.0625W 100ppm/°C Thick Film Chip Resistor,2,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input,Mass from generic 0402 resistor.,analog_control
"R47, R48",0402,Passives,Resistors,Thick Film,GENERIC,R0402_240K_1%_0.0625W_100PPM,240kΩ ±1% 0.0625W 100ppm/°C Thick Film Chip Resistor,2,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input,Mass from generic 0402 resistor.,analog_control
"R63_ADC_1, R63_ADC_2, R63_ADC_3, R63_ADC_4, R63_ADC_5, R63_ADC_6, R68_ADC_1, R68_ADC_2, R68_ADC_3, R68_ADC_4, R68_ADC_5, R68_ADC_6, R69_ADC_1, R69_ADC_2, R69_ADC_3, R69_ADC_4, R69_ADC_5, R69_ADC_6, R74_ADC_1, R74_ADC_2, R74_ADC_3, R74_ADC_4, R74_ADC_5, R74_ADC_6, R75_ADC_1, R75_ADC_2, R75_ADC_3, R75_ADC_4, R75_ADC_5, R75_ADC_6, R80_ADC_1, R80_ADC_2, R80_ADC_3, R80_ADC_4, R80_ADC_5, R80_ADC_6, R81_ADC_1, R81_ADC_2, R81_ADC_3, R81_ADC_4, R81_ADC_5, R81_ADC_6, R86_ADC_1, R86_ADC_2, R86_ADC_3, R86_ADC_4, R86_ADC_5, R86_ADC_6, R87_ADC_1, R87_ADC_2, R87_ADC_3, R87_ADC_4, R87_ADC_5, R87_ADC_6, R92_ADC_1, R92_ADC_2, R92_ADC_3, R92_ADC_4, R92_ADC_5, R92_ADC_6, R93_ADC_1, R93_ADC_2, R93_ADC_3, R93_ADC_4, R93_ADC_5, R93_ADC_6, R98_ADC_1, R98_ADC_2, R98_ADC_3, R98_ADC_4, R98_ADC_5, R98_ADC_6, R99_ADC_1, R99_ADC_2, R99_ADC_3, R99_ADC_4, R99_ADC_5, R99_ADC_6, R104_ADC_1, R104_ADC_2, R104_ADC_3, R104_ADC_4, R104_ADC_5, R104_ADC_6, R105_ADC_1, R105_ADC_2, R105_ADC_3, R105_ADC_4, R105_ADC_5, R105_ADC_6, R110_ADC_1, R110_ADC_2, R110_ADC_3, R110_ADC_4, R110_ADC_5, R110_ADC_6, R126",0402,Passives,Resistors,Thick Film,GENERIC,R0402_1M_1%_0.0625W_100PPM,1MΩ ±1% 0.0625W 100ppm/°C Thick Film Chip Resistor,97,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input,Mass from generic 0402 resistor.,analog_control
"R64_ADC_1, R64_ADC_2, R64_ADC_3, R64_ADC_4, R64_ADC_5, R64_ADC_6, R65_ADC_1, R65_ADC_2, R65_ADC_3, R65_ADC_4, R65_ADC_5, R65_ADC_6, R66_ADC_1, R66_ADC_2, R66_ADC_3, R66_ADC_4, R66_ADC_5, R66_ADC_6, R67_ADC_1, R67_ADC_2, R67_ADC_3, R67_ADC_4, R67_ADC_5, R67_ADC_6, R70_ADC_1, R70_ADC_2, R70_ADC_3, R70_ADC_4, R70_ADC_5, R70_ADC_6, R71_ADC_1, R71_ADC_2, R71_ADC_3, R71_ADC_4, R71_ADC_5, R71_ADC_6, R72_ADC_1, R72_ADC_2, R72_ADC_3, R72_ADC_4, R72_ADC_5, R72_ADC_6, R73_ADC_1, R73_ADC_2, R73_ADC_3, R73_ADC_4, R73_ADC_5, R73_ADC_6, R76_ADC_1, R76_ADC_2, R76_ADC_3, R76_ADC_4, R76_ADC_5, R76_ADC_6, R77_ADC_1, R77_ADC_2, R77_ADC_3, R77_ADC_4, R77_ADC_5, R77_ADC_6, R78_ADC_1, R78_ADC_2, R78_ADC_3, R78_ADC_4, R78_ADC_5, R78_ADC_6, R79_ADC_1, R79_ADC_2, R79_ADC_3, R79_ADC_4, R79_ADC_5, R79_ADC_6, R82_ADC_1, R82_ADC_2, R82_ADC_3, R82_ADC_4, R82_ADC_5, R82_ADC_6, R83_ADC_1, R83_ADC_2, R83_ADC_3, R83_ADC_4, R83_ADC_5, R83_ADC_6, R84_ADC_1, R84_ADC_2, R84_ADC_3, R84_ADC_4, R84_ADC_5, R84_ADC_6, R85_ADC_1, R85_ADC_2, R85_ADC_3, R85_ADC_4, R85_ADC_5, R85_ADC_6, R88_ADC_1, R88_ADC_2, R88_ADC_3, R88_ADC_4, R88_ADC_5, R88_ADC_6, R89_ADC_1, R89_ADC_2, R89_ADC_3, R89_ADC_4, R89_ADC_5, R89_ADC_6, R90_ADC_1, R90_ADC_2, R90_ADC_3, R90_ADC_4, R90_ADC_5, R90_ADC_6, R91_ADC_1, R91_ADC_2, R91_ADC_3, R91_ADC_4, R91_ADC_5, R91_ADC_6, R94_ADC_1, R94_ADC_2, R94_ADC_3, R94_ADC_4, R94_ADC_5, R94_ADC_6, R95_ADC_1, R95_ADC_2, R95_ADC_3, R95_ADC_4, R95_ADC_5, R95_ADC_6, R96_ADC_1, R96_ADC_2, R96_ADC_3, R96_ADC_4, R96_ADC_5, R96_ADC_6, R97_ADC_1, R97_ADC_2, R97_ADC_3, R97_ADC_4, R97_ADC_5, R97_ADC_6, R100_ADC_1, R100_ADC_2, R100_ADC_3, R100_ADC_4, R100_ADC_5, R100_ADC_6, R101_ADC_1, R101_ADC_2, R101_ADC_3, R101_ADC_4, R101_ADC_5, R101_ADC_6, R102_ADC_1, R102_ADC_2, R102_ADC_3, R102_ADC_4, R102_ADC_5, R102_ADC_6, R103_ADC_1, R103_ADC_2, R103_ADC_3, R103_ADC_4, R103_ADC_5, R103_ADC_6, R106_ADC_1, R106_ADC_2, R106_ADC_3, R106_ADC_4, R106_ADC_5, R106_ADC_6, R107_ADC_1, R107_ADC_2, R107_ADC_3, R107_ADC_4, R107_ADC_5, R107_ADC_6, R108_ADC_1, R108_ADC_2, R108_ADC_3, R108_ADC_4, R108_ADC_5, R108_ADC_6, R109_ADC_1, R109_ADC_2, R109_ADC_3, R109_ADC_4, R109_ADC_5, R109_ADC_6, R160, R161, R162, R163",0402,Passives,Resistors,Thick Film,GENERIC,R0402_220R_1%_0.0625W_100PPM,220Ω ±1% 0.0625W 100ppm/°C Thick Film Chip Resistor,196,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input,Mass from generic 0402 resistor.,analog_control
"R121, R122, R134, R135, R136, R142, R143, R144, R145, R146, R147, R148, R168",0402,Passives,Resistors,Zero Ohm,GENERIC,R0402_0R_JUMPER,0Ω Zero Ohm Jumper,13,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input,Mass from generic 0402 resistor.,analog_control
R127,0402,Passives,Resistors,Thick Film,GENERIC,R0402_60K4_1%_0.063W_100PPM,60.4kΩ ±1% 0.063W 100ppm/°C Thick Film Chip Resistor,1,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input,Mass from generic 0402 resistor.,analog_control
"R128, R167",0402,Passives,Resistors,Thick Film,GENERIC,R0402_180K_1%_0.0625W_100PPM,180kΩ ±1% 0.0625W 100ppm/°C Thick Film Chip Resistor,2,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input,Mass from generic 0402 resistor.,analog_control
"R130, R150, R151, R152, R153, R154",0402,Passives,Resistors,Thick Film,GENERIC,R0402_8R2_1%_0.0625W_200PPM,8.2Ω ±1% 0.0625W 200ppm/°C Thick Film Chip Resistor,6,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input,Mass from generic 0402 resistor.,analog_control
"R139, R141",0402,Passives,Resistors,Thick Film,GENERIC,R0402_120K_1%_0.0625W_100PPM,120kΩ ±1% 0.0625W 100ppm/°C Thick Film Chip Resistor,2,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input,Mass from generic 0402 resistor.,analog_control
R164,0805,Passives,Resistors,Thick Film,GENERIC,R0805_10M_1%_0.125W_100PPM,10MΩ ±1% 0.125W 100ppm/°C Thick Film Chip Resistor,1,kg,,NO,2.0,1.25,0.5,,3,4,0.000001,0,EcoInvent,"resistor production, surface-mounted",kg,Input,Mass from generic 0805 resistor.,analog_control
R165,1206,Passives,Resistors,Thick Film,GENERIC,R1206_0R01_1%_1W_100PPM,0.01Ω ±1% 1W 100ppm/°C Current Sense Chip Resistor,1,kg,,NO,3.2,1.6,0.55,,3,4,0.003,0,EcoInvent,"resistor production, surface-mounted",kg,Input,Mass from generic 1206 resistor,analog_control
R166,0402,Passives,Resistors,Thick Film,GENERIC,R0402_1K5_1%_0.0625W_100PPM,1.5kΩ ±1% 0.0625W 100ppm/°C Thick Film Chip Resistor,1,kg,,NO,1.0,0.5,0.35,,3,4,0.0002,0,EcoInvent,"resistor production, surface-mounted",kg,Input,Mass from generic 0402 resistor.,analog_control
