Manufacturer,Part_Number,Subsystems,Casing,Description,Section,Subsection,unit,Quantity_per_element,Has_datasheet_info,L_mm,W_mm,H_mm,Volume_cm3_excel,Density_min_g_cm3,Density_max_g_cm3,Metal_extra_g,mass_space_relation_m2/kg,Database,Ecoinvent_flow,Ecoinvent_unit,Direction
GENERIC,CC0402_15NF_50V_5%_X7R,digital_control,0402,"SMD Multilayer Chip Ceramic Capacitor, 15nF, 50V, X7R, 0402",Passives,Capacitors,kg,,NO,1.0,0.5,0.5,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input
GENERIC,CC0402_1NF_50V_5%_C0G,analog_control,0402,1nF ±5% 50V C0G SMD Multilayer Chip Ceramic Capacitor,Passives,Capacitors,kg,,NO,1.0,0.5,0.5,,6,7,0,0,EcoInvent,"capacitor production, for surface-mounting",kg,Input
GENERIC,CC0402_1UF_25V_10%_X5R,analog_control,0402,"SMD Multilayer Chip Ceramic Capacitor, 10µF, 6.3V, X5R, 0402",Passives,Capacitors,kg,,NO,1.0,0.5,0.5,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input
GENERIC,CC0402_220PF_50V_5%_C0G,analog_control,0402,220pF ±5% 50V C0G SMD Multilayer Chip Ceramic Capacitor,Passives,Capacitors,kg,,NO,1.0,0.5,0.5,,6,7,0,0,EcoInvent,"capacitor production, for surface-mounting",kg,Input
GENERIC,CC0402_22PF_50V_5%_C0G,digital_control,0402,"SMD Multilayer Chip Ceramic Capacitor, 22pF, 50V, C0G, 0402",Passives,Capacitors,kg,,NO,1.0,0.5,0.5,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input
GENERIC,CC0402_330PF_50V_5%_C0G,analog_control,0402,330pF ±5% 50V C0G SMD Multilayer Chip Ceramic Capacitor,Passives,Capacitors,kg,,NO,1.0,0.5,0.5,,6,7,0,0,EcoInvent,"capacitor production, for surface-mounting",kg,Input
GENERIC,CC0402_33PF_50V_5%_C0G,"analog_control, digital_control",0402,33pF ±5% 50V C0G SMD Multilayer Chip Ceramic Capacitor,Passives,Capacitors,kg,,NO,1.0,0.5,0.5,,6,7,0,0,EcoInvent,"capacitor production, for surface-mounting",kg,Input
GENERIC,CC0402_33PF_50V_5%_C0G,"analog_control, digital_control",0402,"SMD Multilayer Chip Ceramic Capacitor, 33pF, 50V, C0G, 0402",Passives,Capacitors,kg,,NO,1.0,0.5,0.5,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input
GENERIC,CC0402_4.7UF_6.3V_20%_X5R,digital_control,0402,"SMD Multilayer Chip Ceramic Capacitor, 4.7µF, 6.3V, X5R, 0402",Passives,Capacitors,kg,,NO,1.0,0.5,0.5,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input
GENERIC,CC0402_470NF_50V_10%_X5R,digital_control,0402,"SMD Multilayer Chip Ceramic Capacitor, 470nF, 50V, X5R, 0402",Passives,Capacitors,kg,,NO,1.0,0.5,0.5,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input
GENERIC,CC0402_47PF_50V_5%_C0G,"analog_control, digital_control",0402,47pF ±5% 50V C0G SMD Multilayer Chip Ceramic Capacitor,Passives,Capacitors,kg,,NO,1.0,0.5,0.5,,6,7,0,0,EcoInvent,"capacitor production, for surface-mounting",kg,Input
GENERIC,CC0402_47PF_50V_5%_C0G,"analog_control, digital_control",0402,"SMD Multilayer Chip Ceramic Capacitor, 47pF, 50V, C0G, 0402",Passives,Capacitors,kg,,NO,1.0,0.5,0.5,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input
GENERIC,CC0402_680PF_50V_1%_C0G,analog_control,0402,680pF ±1% 50V C0G SMD Multilayer Chip Ceramic Capacitor,Passives,Capacitors,kg,,NO,1.0,0.5,0.5,,6,7,0,0,EcoInvent,"capacitor production, for surface-mounting",kg,Input
GENERIC,CC0402_NO-VALUE,digital_control,0402,Reserved Footprint For 0402(1005) Chip Ceramic Capacitor,Passives,Capacitors,kg,,NO,1.0,0.5,0.5,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input
GENERIC,CC0603_100NF_50V_10%_X7R,digital_control,0603,"SMD Multilayer Chip Ceramic Capacitor, 100nF, 50V, X7R, 0603",Passives,Capacitors,kg,,NO,1.6,0.8,0.8,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input
GENERIC,CC0603_10NF_50V_5%_C0G,analog_control,0603,10nF ±5% 50V C0G SMD Multilayer Chip Ceramic Capacitor,Passives,Capacitors,kg,,NO,1.6,0.8,0.8,,6,7,0,0,EcoInvent,"capacitor production, for surface-mounting",kg,Input
GENERIC,CC0603_22UF_10V_20%_X5R,digital_control,0603,"SMD Multilayer Chip Ceramic Capacitor, 22µF, 10V, X5R, 0603",Passives,Capacitors,kg,,NO,1.6,0.8,0.8,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input
GENERIC,CC0603_4.7NF_50V_5%_C0G,analog_control,0603,"SMD Multilayer Chip Ceramic Capacitor, 4.7NF_50V_5%, 0603",Passives,Capacitors,kg,,NO,1.6,0.8,0.8,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input
GENERIC,CC0805_100NF_50V_1%_NP0,analog_control,0805,100nF ±1% 50V NP0 SMD Multilayer Chip Ceramic Capacitor,Passives,Capacitors,kg,,NO,2.0,1.25,0.8,,6,7,0,0,EcoInvent,"capacitor production, for surface-mounting",kg,Input
GENERIC,CC0805_100NF_50V_10%_X7R,digital_control,0805,"SMD Multilayer Chip Ceramic Capacitor, 100nF, 50V, X7R, 0805",Passives,Capacitors,kg,,NO,2.0,1.25,0.8,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input
GENERIC,CC0805_10UF_25V_10%_X5R,analog_control,0805,"SMD Multilayer Chip Ceramic Capacitor, 100nF, 25V, X7R, 0805",Passives,Capacitors,kg,,NO,2.0,1.25,0.8,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input
GENERIC,CC0805_1UF_100V_10%_X7S,digital_control,0805,"SMD Multilayer Chip Ceramic Capacitor, 1µF, 100V, X7S, 0805",Passives,Capacitors,kg,,NO,2.0,1.25,0.8,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input
GENERIC,CC1206_100NF_200V_10%_X7R,4Q_power_card,1206,±10% 200V X7R SMD Ceramic Chip Capacitor,Passives,Capacitors,kg,,NO,3.2,1.6,1.7,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input
GENERIC,CC1206_100NF_50V_10%_X7R,"4Q_output_control_card, 4Q_power_card, contactor_card, fan_supervision_card, inverter_power_card",1206,±10% 50V X7R SMD Multilayer Chip Ceramic Capacitor,Passives,Capacitors,kg,,NO,3.2,1.6,1.7,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input
GENERIC,CC1206_100PF_50V_5%_NP0,"4Q_output_control_card, contactor_card",1206,±5% 50V C0G/NP0 SMD Multilayer Chip Ceramic Capacitor,Passives,Capacitors,kg,,NO,3.2,1.6,1.7,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input
GENERIC,CC1206_10NF_50V_10%_X7R,"4Q_output_control_card, contactor_card",1206,±10% 50V X7R SMD Multilayer Chip Ceramic Capacitor,Passives,Capacitors,kg,,NO,3.2,1.6,1.7,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input
GENERIC,CC1206_1NF_50V_10%_X7R,"4Q_output_control_card, 4Q_power_card, contactor_card, fan_supervision_card, inverter_power_card",1206,"±10%
 50V X7R SMD Multilayer Chip Ceramic Capacitor",Passives,Capacitors,kg,,NO,3.2,1.6,1.7,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input
GENERIC,CC1206_1UF_50V_10%_X7R,"4Q_output_control_card, 4Q_power_card",1206,±10% 50V X7R SMD Multilayer Chip Ceramic Capacitor,Passives,Capacitors,kg,,NO,3.2,1.6,1.7,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input
Generic,CC1206_220PF_50V_5%_NP0,inverter_power_card,1206,"220 pF, ±5%, 50V, C0G/NP0, 1206",Passives,Capacitors,kg,,NO,3.2,1.6,1.7,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input
GENERIC,CC1210_10UF_75V_10%_X7R,digital_control,1210,"SMD Multilayer Chip Ceramic Capacitor, 10µF, 75V, X7R, 1210",Passives,Capacitors,kg,,NO,3.18,2.41,1.4,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input
GENERIC,CC1210_47UF_10V_10%_X7R,analog_control,1210,47µF ±10% 10V X7R SMD Multilayer Chip Ceramic Capacitor,Passives,Capacitors,kg,,NO,3.2,2.5,2.5,,6,7,0,0,EcoInvent,"capacitor production, for surface-mounting",kg,Input
GENERIC,CC1210_47UF_16V_10%_X5R,digital_control,1210,"SMD Multilayer Chip Ceramic Capacitor, 47µF, 16V, X5R, 1210",Passives,Capacitors,kg,,NO,3.18,2.41,1.4,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input
GENERIC,CC1808_1NF_3000V_10%_X7R,digital_control,1808,"SMD Multilayer Chip Ceramic Capacitor, 1nF, 3000V, X7R, 1808",Passives,Capacitors,kg,,NO,4.5,2.0,1.6,,6,7,0,,EcoInvent,"capacitor production, for surface-mounting",kg,Input
GENERIC,CTE6032-28_22UF_25V_10%_LESR0250,digital_control,C,"Low ESR 0R25 Solid Tantalum Chip Capacitor, 22µF, 25V, 6032",Passives,Capacitors,kg,0.0003,YES,,,,,,,,,EcoInvent,"capacitor production, electrolyte type, < 2cm height",kg,Input
GENERIC,CTE7343-43_100UF_25V_10%_LESR0150,analog_control,E,100µF ±10% 25V Low ESR Solid Tantalum Chip Capacitor,Passives,Capacitors,kg,,NO,7.3,4.3,4.1,,5,6,0,0,EcoInvent,"capacitor production, electrolyte type, < 2cm height",kg,Input
GENERIC,CTE7343-43_10UF_35V_10%_LESR0200,"4Q_output_control_card, 4Q_power_card",E,±10% 35V Low ESR 0R2 Solid Tantalum Chip Capacitor,Passives,Capacitors,kg,,NO,7.3,4.3,4.1,,5,6,0,,EcoInvent,"capacitor production, electrolyte type, < 2cm height",kg,Input
