Designators,Casing,Section,Subsection,Category,Manufacturer,Part_Number,Description,number_elements,unit,Quantity_per_element,Has_datasheet_info,L_mm,W_mm,H_mm,Volume_cm3_excel,Density_min_g_cm3,Density_max_g_cm3,Metal_extra_g,Other_extra_g,Database,Ecoinvent_flow,Ecoinvent_unit,Direction,Database_component_title,Comments,Subsystem
"HVDC_M, HVDV_P",,Passives,Test PIN,,VERO TECHNOLOGIES,20-2136,Black Bead PCB Terminal Test Pin for 1.6mm PCB Thickness (1.32mm Hole),2,kg,8e-05,YES,,,,,,,,,EcoInvent,"electronic component, passive, unspecified",kg,Input,,Chossen passive generic because it includes thins kind of components and there is not another alternative.,filter_card
"J1,J2,J4",,Passives,Electromechanical,Connectors,TYCO ELECTRONICS,350789-1,3 Circuits In-Line - Universal MATE-N-LOK Connector,3,kg,0.001983,YES,,,,,,,,,EcoInvent,"electric connector production, peripheral type buss",kg,Input,,Good proxy for a general‑purpose industrial connector; not exact but covers similar materials and function For the mass: https://www.tme.com/in/en/details/350789-1/raster-signal-connectors-6-35mm/te-connectivity/,filter_card
J3,,Passives,Electromechanical,Connectors,TYCO ELECTRONICS,350786-1,2 Circuits In-Line - Universal MATE-N-LOK Connector,1,kg,0.00137,YES,,,,,,,,,EcoInvent,"electric connector production, wire clamp",kg,Input,,Mass info: https://www.tme.com/in/en/details/350786-1/raster-signal-connectors-6-35mm/te-connectivity/,filter_card
L1,,Magnetics,Inductors,,CERN,HCRAPQU001-0,HF Common Mode Inductor,1,KG,0.0827,YES,,,,,,,,,EcoInvent,"transformer production, low voltage use",kg,Input,"transformer production, low voltage use",The proportions should be modifiedon row; user will delete,filter_card
R1-R4,,Passives,Resistors,,Generic,RMF_47K_5%_3W_250PPM_2286-1670X520,±5% 3W ±250ppm/°C Leaded Power Metal Film Resistor,4,kg,,NO,,,,0.35466,3,4,0.003,0,EcoInvent,"resistor, metal film type, through-hole mounting",kg,Input,"Volume calculated from area and density, THT",,filter_card
"C2,C5",,Passives,Capacitors,Film,WIMA,MKY22W14703F00MSSD,±20% 300VAC Metallized Polypropylene RFI Capacitor Class Y2 (MKP-Y2),2,kg,,NO,13,5,11,,1.3,1.4,0,,EcoInvent,"capacitor production, film type, for through-hole mounting",kg,Input,,,filter_card
THT_PROCESS,,Assembly Processes,THT,,,,Assambly THT components in the PCB,1,m2,,YES,170,100,,,,,,,EcoInvent,"mounting, through-hole technology, Pb-free solder",m2,Input,,,filter_card
PCB,,PCB,,,Panel of 2 PCBs,,Input EMC Fuse Card Printed Circuit Board (Bare),1,m2,,YES,100,100,,,,,,,EcoInvent,"printed wiring board production, for through-hole mounting, Pb free surface",m2,Input,,Base PCB from EcoInvent,fuse_card
C1-C3,,Passives,Capacitors,Film,WIMA,MKX2AW41006D00MSSD,±20% 305VAC Metallized Polypropylene RFI Capacitor Class X2 (MKP-X2),3,kg,,NO,31.5,13,24,,1.3,1.4,0,,EcoInvent,"capacitor production, film type, for through-hole mounting",kg,Input,,,fuse_card
C4,,Passives,Capacitors,Film,WIMA,MKY22W14703F00MSSD,±20% 300VAC Metallized Polypropylene RFI Capacitor Class Y2 (MKP-Y2),1,kg,,NO,13,5,11,,1.3,1.4,0,,EcoInvent,"capacitor production, film type, for through-hole mounting",kg,Input,,,fuse_card
C1b-C3b,,Passives,Capacitors,Film,WIMA,MKX2AW41005I00MSSD,±20% 305VAC Metallized Polypropylene RFI Capacitor Class X2 (MKP-X2),3,kg,,NO,26.5,11,21,,1.3,1.4,0,0,EcoInvent,"capacitor production, film type, for through-hole mounting",kg,Input,,,fuse_card
