Manufacturer,Part_Number,Subsystems,Casing,Description,Section,Subsection,unit,Quantity_per_element,Has_datasheet_info,L_mm,W_mm,H_mm,Volume_cm3_excel,Density_min_g_cm3,Density_max_g_cm3,Metal_extra_g,mass_space_relation_m2/kg,Database,Ecoinvent_flow,Ecoinvent_unit,Direction
Panel of 1,EDA-05282-V1,4Q_output_control_card,,4Q Output Control Card [25A 100V] Printed Circuit Board (Bare),PCB,,m2,,YES,205,110,,,,,,3.08,EcoInvent,"printed wiring board production, for through-hole mounting, Pb free surface",m2,Input
Panel of 2,EDA-04976-V1,contactor_card,,,PCB,,m2,,YES,170,100,,,,,,3.08,EcoInvent,"printed wiring board production, for through-hole mounting, Pb free surface",m2,Input
Panel of 2,EDA-04977-V1,filter_card,,"Panel of 2, 160x105 mm",PCB,,m2,,YES,170,100,,,,,,3.08,EcoInvent,"printed wiring board production, for through-hole mounting, Pb free surface",m2,Input
Panel of 2,EDA-05137-V1,inverter_power_card,,"Panel of 2, 160x105 mm",PCB,,m2,,YES,160,105,,,,,,3.08,EcoInvent,"printed wiring board production, for through-hole mounting, Pb free surface",m2,Input
Panel of 4 PCBs,EDA-05283-V1,fan_supervision_card,,Q Power Card [25A 100V] Printed Circuit Board (Bare),PCB,,m2,,YES,34,110,,,,,,3.08,EcoInvent,"printed wiring board production, for through-hole mounting, Pb free surface",m2,Input
SCHNEIDER,ZB6E2A,fan_supervision_card,,"NC THD Switch, Top Actuator, SCHNEIDER XB6 Modular Series",Electromechanical,Switches,kg,0.004,YES,,,,,,,,,EcoInvent,"electronic component, passive, unspecified",kg,Input
SCHNEIDER,ZB6Y011,fan_supervision_card,,"Body Fixing Collar for Electrical Block + Fixing Point with Fixing Screws, SCHNEIDER XB6 Modular Series",Hardware,Mounting Hardware,kg,0.004,YES,,,,,,,,,EcoInvent,"electronic component, passive, unspecified",kg,Input
Semtech,SM712.TCT,"4Q_power_card, inverter_power_card",SOT23-3,12V/-7V 400W Asymmetrical TVS Diode for Extended Common-Mode RS-485,Discrete Semiconductors,Small signal,kg,,NO,2.9,1.3,1,,1.2,1.3,0.0035,,EcoInvent,"diode production, glass-, for surface-mounting",kg,Input
ST MICROELECTRONICS,L7805ABD2T-TR,4Q_power_card,D2PAK,5V 1.5A Positive Voltage Regulator,IC,Analog,kg,,NO,10.29,9.65,4.83,,1.2,1.3,0.9674,,EcoInvent,"integrated circuit production, logic type",kg,Input
ST MICROELECTRONICS,LD1086D2M33TR,4Q_power_card,D2PAK,3.3V 1.5A Low-Dropout Positive Voltage Regulator,IC,Analog,kg,,NO,10.29,9.65,4.83,,1.2,1.3,0.9674,,EcoInvent,"integrated circuit production, logic type",kg,Input
ST MICROELECTRONICS,STD10NF10T4,"4Q_output_control_card, contactor_card",DPAK,100V 13A N-Channel STripFET® II Power MOSFET,Discrete Semiconductors,Power,kg,,NO,6.6,6.2,2.3,,1.2,1.3,0.215,,EcoInvent,"transistor production, surface-mounted",kg,Input
STMicroelectronics,L7805ABD2T-TR,4Q_output_control_card,D2PAK,"""5V 1.5A Positive Voltage Regulator""",IC,Analog,kg,,NO,10.29,9.65,4.83,,1.2,1.3,0.9674,,EcoInvent,"integrated circuit production, logic type",kg,Input
STMicroelectronics,LD1086D2M33TR,inverter_power_card,D2PAK,3.3V 1.5A Low-Dropout Positive Voltage Regulator,IC,Analog,kg,,NO,10.29,9.65,4.83,,1.2,1.3,0.9674,,EcoInvent,"integrated circuit production, logic type",kg,Input
TDK,B32653A6224J000,inverter_power_card,,±5% 630VDC/250VAC Metallized Polypropylene Film Capacitor (MKP),Passives,Capacitors,kg,,NO,7,16,26.5,,1.3,1.4,0,,EcoInvent,"capacitor production, film type, for through-hole mounting",kg,Input
TE Connectivity,350789-1,"contactor_card, inverter_power_card",,3 Circuits In-Line - Universal MATE-N-LOK Connector,Electromechanical,Connectors,kg,0.001983,YES,,,,,,,,,EcoInvent,"electric connector production, peripheral type buss",kg,Input
Texas Instruments,AM26LV32IDR,"4Q_power_card, inverter_power_card",SOIC16,"Low-Voltage, High-Speed Quadruple Differential Line Receiver",IC,Mixed signal,kg,,NO,10,3.9,1.75,,1.2,1.3,0.1,,EcoInvent,"integrated circuit production, logic type",kg,Input
